Board	Ref.	Pos X	Pos Y	Pos Z	Rotation	Part Number	Place Before	Gluing	Skip	Main Mark	Sub Mark	Sub Mark1	Sub Mark2	Carry Mode	Stack Target	Memo	Tag	Assign
9	C213	57.251	73.309	0.000	90.00	1BB01T0448		Yes	No	Mark1	Mark2			Arc			No	S38_1
2	C213	75.381	43.049	0.000	90.00	1BB01T0448		Yes	No	Mark1	Mark2			Arc			No	S38_1
7	C213	75.381	58.179	0.000	90.00	1BB01T0448		Yes	No	Mark1	Mark2			Arc			No	S38_1
10	C213	75.381	73.309	0.000	90.00	1BB01T0448		Yes	No	Mark1	Mark2			Arc			No	S38_1
3	C213	93.511	43.049	0.000	90.00	1BB01T0448		Yes	No	Mark1	Mark2			Arc			No	S38_1
6	C213	93.511	58.179	0.000	90.00	1BB01T0448		Yes	No	Mark1	Mark2			Arc			No	S38_1
11	C213	93.511	73.309	0.000	90.00	1BB01T0448		Yes	No	Mark1	Mark2			Arc			No	S38_1
4	C213	111.641	43.049	0.000	90.00	1BB01T0448		Yes	No	Mark1	Mark2			Arc			No	S38_1
5	C213	111.641	58.179	0.000	90.00	1BB01T0448		Yes	No	Mark1	Mark2			Arc			No	S38_1
12	C213	111.641	73.309	0.000	90.00	1BB01T0448		Yes	No	Mark1	Mark2			Arc			No	S38_1
1	C214	57.208	51.217	0.000	90.00	1BB01T0448		Yes	No	Mark1	Mark2			Arc			No	S38_1
8	C214	57.208	66.347	0.000	90.00	1BB01T0448		Yes	No	Mark1	Mark2			Arc			No	S38_1
9	C214	57.208	81.477	0.000	90.00	1BB01T0448		Yes	No	Mark1	Mark2			Arc			No	S38_1
2	C214	75.338	51.217	0.000	90.00	1BB01T0448		Yes	No	Mark1	Mark2			Arc			No	S38_1
7	C214	75.338	66.347	0.000	90.00	1BB01T0448		Yes	No	Mark1	Mark2			Arc			No	S38_1
10	C214	75.338	81.477	0.000	90.00	1BB01T0448		Yes	No	Mark1	Mark2			Arc			No	S38_1
3	C214	93.468	51.217	0.000	90.00	1BB01T0448		Yes	No	Mark1	Mark2			Arc			No	S38_1
6	C214	93.468	66.347	0.000	90.00	1BB01T0448		Yes	No	Mark1	Mark2			Arc			No	S38_1
