Designator;Library;Part Name;X;Y;Rotation;Z;Pattern;Head;Slot;NHP;NCP;Nozzle;Turn;TS;MS;PR;MArea;Skip
U101;Telit;3990402300;108.13;47.185;90;0;3;8;81004;1;811;1004;6;1;1;1000;1;
U101;Telit;3990402300;108.13;74.815;-90;0;4;8;81004;1;811;1004;3;1;1;1000;1;
U101;Telit;3990402300;86;74.815;-90;0;5;8;81004;1;811;1004;2;1;1;1000;1;
U101;Telit;3990402300;63.87;74.815;-90;0;6;8;81004;1;811;1004;1;1;1;1000;1;
U301;Telit;1DD0200485TX;54.995;43.46;0;0;1;5;50006L;6;514;235;1;1;3;1000;1;
U301;Telit;1DD0200485TX;77.125;43.46;0;0;2;5;50006L;2;524;235;2;2;1;1000;1;
U301;Telit;1DD0200485TX;99.255;43.46;0;0;3;5;50006L;5;513;235;1;2;7;1000;1;
U301;Telit;1DD0200485TX;117.005;78.54;180;0;4;5;50006L;1;523;235;1;3;8;1000;1;
U301;Telit;1DD0200485TX;94.875;78.54;180;0;5;5;50006L;1;523;235;2;1;4;1000;1;
U301;Telit;1DD0200485TX;72.745;78.54;180;0;6;5;50006L;2;524;235;1;4;4;1000;1;
U302;Telit;1DD0101052TX;54.75;40.06;0;0;1;5;50005L;3;521;230;1;6;1;1000;1;
U302;Telit;1DD0101052TX;76.88;40.06;0;0;2;5;50005L;4;522;230;1;5;2;1000;1;
U302;Telit;1DD0101052TX;99.01;40.06;0;0;3;5;50005L;4;522;230;2;4;3;1000;1;
U302;Telit;1DD0101052TX;117.25;81.94;180;0;4;5;50005L;8;512;230;1;8;6;1000;1;
U302;Telit;1DD0101052TX;95.12;81.94;180;0;5;5;50005L;7;511;230;1;7;5;1000;1;
U302;Telit;1DD0101052TX;72.99;81.94;180;0;6;5;50005L;3;521;230;2;3;2;1000;1;
